"id","birth_percentile","collection_date","age","whisker_length","birth_date","in_utero_growth_rate","post_utero_growth_rate"
7,0.58,2015-10-06,89,68,2015-07-09,0.44,0.32
8,0.56,2015-10-06,89,67,2015-07-09,0.42,0.33
9,0.42,2015-10-06,89,64,2015-07-09,0.3,0.42
20,0.52,2015-10-16,99,69,2015-07-09,0.4,0.33
22,0.59,2015-10-19,102,89,2015-07-09,0.58,0.36
24,0.58,2015-10-19,102,66,2015-07-09,0.42,0.27
26,0.48,2015-10-19,102,86,2015-07-09,0.46,0.44
27,0.59,2015-10-19,102,80,2015-07-09,0.52,0.32
31,0.61,2015-11-06,120,92,2015-07-09,0.62,0.3
32,0.52,2015-11-06,120,100,2015-07-09,0.58,0.4
33,0.46,2015-11-06,120,84,2015-07-09,0.43,0.38
34,0.59,2015-11-06,120,89,2015-07-09,0.58,0.31
